journal,Publisher_abdc,ISSN,year_inception,FoR,abdc_ranking,year
Economics and Human Biology,Elsevier,"1570-677X	","2003	",3801,A,2022
Economics and Philosophy,Cambridge University Press,"0266-2671	","1985	",3801,A,2022
Economics and Policy of Energy and the Environment,Franco Angeli Edizioni,"2280-7659	","1978	",3899,C,2022
Economics Bulletin,Vanderbilt University,"1545-2921	","2001	",3801,C,2022
Economics Letters,Elsevier ,"0165-1765	","1978	",3801,A,2022
Economics of Education Review,Elsevier ,"0272-7757	","1981	",3801,A,2022
Economics of Energy & Environmental Policy,International Association for Energy Economics,2160-5882,2012,3801,B,2022
Economics of Governance,Springer International Publishing,"1435-6104	","2000	",3801,B,2022
Economics of Innovation and New Technology,Taylor & Francis Online,"1043-8599	","1990	",3801,B,2022
Economics of Transportation,Elsevier,"2212-0122	","2012	",3509,B,2022
"Economics, Management, and Financial Markets",Addleton Academic Publishers,"1842-3191	","2006	",3801,C,2022
Economies,MDPI,,2013,3801,C,2022
Economists' Voice,De Gruyter,"2194-6167	","2004	",3801,B,2022
Economy and Society,Taylor & Francis Online,"0308-5147	","1972	",3801,A,2022
"EDPACS: The EDP Audit, Control, and Security Newsletter",Taylor & Francis Online,0736-6981,1973,3501,C,2022
Education Economics,Taylor & Francis Online,"0964-5292	","1993	",3801,B,2022
Education Finance and Policy,MIT Press,1557-3060,2006,3801,A,2022
Educational and Psychological Measurement,Sage Publications,"0013-1644	","1941	",3505,A,2022
Educational Management Administration & Leadership,Sage Publications,"1741-1432	","1972	",3505,B,2022
eJournal of Tax Research,Australian School of Taxation and Business Law,"1448-2398	","2003	",4801,A,2022
Ekonomia,University of Cyprus,"1025-5508	","	",3803,C,2022
Electronic Commerce Research,Springer International Publishing,"1389-5753	","2001	",4609,A,2022
Electronic Commerce Research and Applications,Elsevier ,"1567-4223	","2002	",4609,C,2022
Electronic Communication Law Review,Kluwer Law International ,"1570-2294	","1994	",4801,C,2022
Electronic Journal of Evolutionary Modeling and Economic Dynamics,Universite Montesquieu Bordeaux IV,"1298-0137	","2000	",3899,C,2022
Electronic Journal of IS Evaluation,Academic Conferences and Publishing International,"1566-6379	","2002	",4609,B,2022
Electronic Journal of Knowledge Management,Academic Conferences and Publishing International,"1479-4411	","2003	",4609,C,2022
Electronic Journal of Probability,Institute of Mathematical Statistics,,"1996	",4905,A,2022
Electronic Journal of Information Systems in Developing Countries,Wiley-Blackwell Publishing,"1681-4835	","2000	",4609,C,2022
Electronic Markets,Springer Nature,"1019-6781	","1991	",4609,A,2022
Emergence: complexity and organization,ISCE Publishing,"1521-3250	","1999	",3507,B,2022
Emerging Markets Finance and Trade,Taylor & Francis Online,"1540-496X	","2008	",3502,B,2022
Emerging Markets Review,Elsevier ,"1566-0141	","2000	",3502,A,2022
Empirica,Springer International Publishing,"0340-8744	","1974	",3801,C,2022
Empirical Economics,Springer International Publishing,"0377-7332	","1976	",3801,A,2022
Empirical Economics Letters,Dr. Mohammad A. Wadud,"1681-8997	","2002	",3801,C,2022
Employee Relations,Emerald Group Publishing,"0142-5455	","1979	",3505,B,2022
Employee Relations Law Journal,"Aspen Publishers, Inc.","0098-8898	","1975	",4801,B,2022
Employee Responsibilities and Rights Journal,Springer International Publishing,"0892-7545	","1988	",3505,C,2022
Energy and Environment,Sage Publications,"0958-305X	","1990	",3599,C,2022
Energy Economics,Elsevier ,"0140-9883	","1979	",3801,A*,2022
Energy Journal,International Association for Energy Economics,"0195-6574	","1980	",3801,A,2022
Energy Policy,Elsevier,"0301-4215	","1973	",3599,A,2022
"Energy Sources, Part B: Economics, Planning, and Policy",Taylor & Francis Online,"1556-7249	","2006	",3801,C,2022
Energy Studies Review,"DeGroote School of Business, McMaster University","0843-4379	","1980	",3899,C,2022
Engineering Economics,Kaunas University of Technology,"1392-2785	","1989	",3801,B,2022
Engineering Economist,Taylor & Francis Online,"0013-791X	","1955	",3801,C,2022
"Engineering, Construction and Architectural Management",Emerald Group Publishing,"0969-9988	","1994	",3504,A,2022
Enometrica,University of Macarata,"1974-4730	","2008	",3899,C,2022
Enterprise and Society,Cambridge University Press,"1467-2227	","2000	",3505,A,2022
Enterprise Development & Microfinance,Practical Action Publishing,"1755-1978	","1990	",3801,C,2022
Enterprise Governance eJournal,Bond Faculty of Law,"2651-9615	","2005	",4801,C,2022
Enterprise Information Systems,Taylor & Francis Online,"1751-7575	","2007	",4609,A,2022
Entertainment Law Review,Sweet & Maxwell ,"0959-3799	","1990	",4801,B,2022
Entrepreneurial Business Law Journal,"Ohio State University, Moritz College of Law","1932-4480	","2006	",4801,C,2022
Entrepreneurship and Regional Development,Taylor & Francis Online,"0898-5626	","1989	",3507,A,2022
Entrepreneurship Research Journal,Walter de Gruyter GmbH,"2194-6175	","2011	",3507,B,2022
Entrepreneurship Theory and Practice,Sage Publications,"1042-2587	","1976	",3507,A*,2022
Environment and Development Economics,Cambridge University Press,"1355-770X	","1996	",3801,B,2022
Environment and Planning A: Economy and Space,Sage Publications ,"0308-518X	","1968	",3599,A*,2022
Environment and Planning B: planning and design,Sage Publications ,"0265-8135	","1969	",3599,A*,2022
Environment and Planning C: politics and space,Sage Publications ,"0263-774X	","1983	",3599,B,2022
Environment and Planning D: society and space,Sage Publications ,"0263-7758	","1983	",3599,A,2022
Environment and Urbanization Asia,Sage Publications ,0975-4253,2009,3599,C,2022
Environmental and Ecological Statistics,Springer International Publishing,"1352-8505	","1994	",4905,A,2022
Environmental and Planning Law Journal,Thomson Reuters,"0813-300X	","1984	",4801,B,2022
Environmental and Resource Economics,Springer International Publishing,"0924-6460	","1991	",3801,A,2022
Environmental Economics and Policy Studies,Springer International Publishing,"1432-847X	","1998	",3801,B,2022
Environmental Education Research,Taylor & Francis Online,"1350-4622	","1995	",3599,A,2022
Environmental Innovation and Societal Transitions,Elsevier,,2011,3599,B,2022
Environmental Management,Springer International Publishing,"0364-152X	","1977	",3507,C,2022
Environmetrics,Wiley-Blackwell Publishing,"1180-4009	","1990	",4905,B,2022
"Equality, Diversity and Inclusion",Emerald Group Publishing,"2040-7149	","1981	",3505,B,2022
Erasmus Journal for Philosophy and Economics,Erasmus University,"1876-9098	","2008	",3899,C,2022
Erasmus Law and Economics Review,Erasmus Law and Economics Students Society,"1824-3886	","2004	",4801,C,2022
ESAIM: Probability and Statistics,EDP Sciences,"1292-8100	","1997	",4905,C,2022
Essays in Economic & Business History,The Economic and Business History Society,0896-226X,1979,3801,B,2022
Estudos Economicos,Universidade de Sao Paulo,"0101-4161	","1970	",3801,C,2022
Ethics and Economics,University of Versailles,"1639-1306	","2003	",3899,C,2022
Ethics and Information Technology,Springer International Publishing,"1388-1957	","1999	",4609,C,2022
"Ethics: an international journal of social, political, and legal philosophy",The University of Chicago Press,"0014-1704	","1888	",3507,A,2022
Eurasian Business Review,Springer International Publishing,"1309-4297	","2011	",3801,C,2022
Eurasian Economic Review,Springer International Publishing,1309-422X,2011,3801,C,2022
Eurasian Geography and Economics,Taylor & Francis Online,"1538-7216	","1960	",3899,B,2022
Eurasian Journal of Business and Economics,Ala-Too International University,1694-5948,2008,3501,C,2022
EURO Journal on Transportation and Logistics,Springer International Publishing,"2192-4376	","2012	",3509,B,2022
EuroChoices,Wiley-Blackwell Publishing,"	","2001	",3801,C,2022
EuroMed Journal of Business,Emerald Group Publishing,"1450-2194	","2006	",3507,C,2022
Europe-Asia Studies,Taylor & Francis Online,"0966-8136	","1949	",3599,C,2022
European Actuarial Journal,Springer International Publishing,"2190-9733	","2011	",3502,B,2022
European Business Law Review,Kluwer Law International ,"0959-6941	","1988	",4801,C,2022
European Business Organization Law Review,Springer Nature,"1566-7529	","2000	",4801,B,2022
European Business Review,Emerald Group Publishing,"0955-534X	","1989	",3507,B,2022
European Company Law,Kluwer Law International ,"1572-4999	","2002	",4801,C,2022
European Competition Journal,Taylor & Francis Online,"1744-1056	","2005	",4801,C,2022
European Competition Law Review,Sweet & Maxwell ,"0144-3054	","1980	",4801,A,2022
European Economic Letters,European Economics Letters Groups,"2323-5233	","2012	",3801,C,2022
European Economic Review,Elsevier,"0014-2921	","1969	",3801,A*,2022
European Financial Management,Wiley-Blackwell Publishing,"1354-7798	","1995	",3502,A,2022
European Intellectual Property Review,Sweet & Maxwell ,"0142-0461	","1978	",4801,A,2022
European Journal of Communication,Sage Publications,"0267-3231	","1986	",3599,B,2022
European Journal of Comparative Economics,European Association for Comparative Economics Systems / LIUC University Press,"1824-2979	","2004	",3899,B,2022
European Journal of Development Research,Springer International Publishing,"0957-8811	","1989	",3801,B,2022
European Journal of Economics and Economic Policies: Intervention,Edward Elgar Publishing,2052-7764,"2004	",3801,C,2022
European Journal of Government and Economics,Europa Grande,"2254-7088	","2012	",3899,C,2022
European Journal of Health Economics,Springer International Publishing,"1618-7598	","2002	",3801,A,2022
European Journal of Industrial Relations,Sage Publications,"0959-6801	","1995	",3505,A,2022
European Journal of Information Systems,Taylor & Francis Online,"0960-085X	","1991	",4609,A*,2022
European Journal of Innovation Management,Emerald Group Publishing,"1460-1060	","1998	",3507,C,2022
European Journal of International Law,Oxford University Press ,"0938-5428	","1990	",4801,A,2022
European Journal of International Management,Inderscience,1751-6757 ,"2007	",3507,C,2022
European Journal of International Relations,Sage Publications,"1354-0661	","1995	",3599,A,2022
European Journal of Law and Economics,Springer International Publishing,"0929-1261	","1994	",4801,C,2022
European Journal of Management Studies,Emerald Group Publishing,2183-4172,"1993	",3507,C,2022
European Journal of Marketing,Emerald Group Publishing,"0309-0566	","1967	",3506,A*,2022
European Journal of Operational Research,Elsevier,"0377-2217	","1977	",3507,A*,2022
European Journal of Personality,Wiley-Blackwell Publishing,0890-2070,1987,3507,A,2022
European Journal of Political Economy,Elsevier ,"0176-2680	","1985	",3801,A,2022
European Journal of Political Research,Wiley-Blackwell Publishing,"0304-4130	","1973	",3599,A,2022
European Journal of Population,Springer International Publishing,"0168-6577	","1985	",3599,B,2022
European Journal of Psychological Assessment,Hogrefe Publishing Corp ,"1015-5759	","1985	",3507,B,2022
European Journal of Public Health,Oxford University Press ,"1101-1262	","1991	",3599,B,2022
European Journal of Social Psychology,Wiley-Blackwell Publishing,"0046-2772	","1971	",3507,A,2022
European Journal of Sociology,Cambridge University Press,"0003-9756	","1960	",3507,A,2022
European Journal of the History of Economic Thought,Taylor & Francis Online,"0967-2567	","1993	",3803,B,2022
European Journal of Training and Development,Emerald Group Publishing,"2046-9012	","1977	",3505,C,2022
European Journal of Transport and Infrastructure Research,Delft University of Technology,"1567-7133	","2000	",3509,B,2022
European Journal of Work and Organizational Psychology,Taylor & Francis Online,"1359-432X	","1991	",3507,A,2022
European Law Journal,Wiley-Blackwell Publishing,"1351-5993	","1995	",4801,B,2022
European Law Review,Sweet & Maxwell ,"0307-5400	","1975	",4801,A,2022
European Management Journal,Elsevier,"0263-2373	","1982	",3507,B,2022
European Management Review,Wiley-Blackwell Publishing,"1740-4754	","2004	",3507,C,2022
European Review of Agricultural Economics,Oxford University Press ,"0165-1587	","1973	",3801,A,2022
European Review of Economic History,Oxford University Press ,"1361-4916	","1997	",3801,A,2022
European Sport Management Quarterly,Taylor & Francis Online,"1618-4742	","2001	",3504,A,2022
European Taxation,International Bureau of Fiscal Documentation,"0014-3138	","1961	",4801,B,2022
European Transport / Trasporti Europei,Giordano Editore,"1825-3997	","1995	",3509,C,2022
European Transport Law,Wijfells,"0014-3154	","1966	",4801,C,2022
European Urban and Regional Studies,Sage Publications,"0969-7764	","1994	",3599,A,2022
Evaluation,Sage Publications,"1356-3890	","1995	",3507,B,2022
Evaluation Review,Sage Publications,0193-841X,"1977	",3599,A,2022
Event Management,Cognizant Communication Corporation,"1525-9951	","1993	",3508,A,2022
Evidence-based HRM,Emerald Group Publishing,"2049-3983	","2013	",3505,B,2022
Experimental Economics,Springer International Publishing,"1386-4157	","1998	",3801,A*,2022
Expert Review of Pharmacoeconomics & Outcomes Research,Taylor & Francis Online,"1473-7167	","2001	",3801,C,2022
Expert Systems with Applications,Elsevier ,"0957-4174	","1990	",4609,C,2022
Explorations in Economic History,Elsevier,"0014-4983	","1963	",3801,A,2022
Facilities,Emerald Group Publishing,"0263-2772	","1983	",3504,B,2022
Facta Universitatas: Economics and Organization,University of Nis,0354-4699,1993,3501,C,2022
Faith and Economics,American Theological Libraries Association ,"0896-307X	","	",3899,B,2022
Family Business Review,Sage Publications,"0894-4865	","1988	",3507,A,2022
Farm and Business - The Journal of the Caribbean Agro-Economic Society,Caribbean Agro-Economic Society,"1019-035X	","1992	",3899,C,2022
Federal Law Review,Australian National University ,"0067-205X	","1964	",4801,A*,2022
Feminist Economics,Taylor & Francis Online,"1354-5701	","1995	",3801,A,2022
FIIB Business Review,Sage Publications,2319-7145‎,"2014	",3507,C,2022
Finance,Association Francaise de Finance,"0752-6180	","1980	",3502,C,2022
Finance and Stochastics,Springer International Publishing,"0949-2984	","1996	",3502,A,2022
Finance India,Indian Institute of Finance ,"0970-3772	","1987	",3502,C,2022
Finance Research Letters,Elsevier,"1544-6123	","2004	",3502,A,2022
Financial Accountability and Management,Wiley-Blackwell Publishing,"0267-4424	","1985	",3501,A,2022
Financial Analysts Journal,Taylor & Francis Online,"0015-198X	","1945	",3502,A,2022
Financial History Review,Cambridge University Press,"0968-5650	","1994	",3502,B,2022
Financial Management,Wiley-Blackwell Publishing,"0046-3892	","1972	",3502,A,2022
Financial Markets and Portfolio Management,Springer International Publishing,"1934-4554	","1987	",3502,B,2022
"Financial Markets, Institutions and Instruments",Wiley-Blackwell Publishing,"0963-8008	","1992	",3502,B,2022
Financial Planning Research Journal,Griffith University on behalf of FPA Australia,"2206-1355	","2015	",3502,C,2022
Financial Reporting,Franco Angeli,2036-671X,2011,3501,C,2022
"Financial Reporting, Regulation & Governance",,"1449-2318	","2004	",3501,C,2022
Financial Review (US),Wiley-Blackwell Publishing,"0732-8516	","1969	",3502,A,2022
Financial Services Newsletter,LexisNexis,"1035-2155	","1985	",4801,C,2022
Financial Services Review,Academy of Financial Services - Elsevier,"1057-0810	","1992	",3502,B,2022
Financijska Teorija i Praksa,Institute of Public Finance,"1332-3970	","1977	",3801,C,2022
Finnish Economic Papers,Finnish Economic Association,"0784-5197	","1988	",3801,B,2022
First Monday,University of Illinois Press,"1396-0466	","1996	",4609,B,2022
Fiscal Studies,Wiley-Blackwell Publishing,"0143-5671	","1979	",3801,B,2022
Flexible Services and Manufacturing Journal,Springer International Publishing,"1936-6582	","1988	",3507,C,2022
Food Policy,Elsevier ,"0306-9192	","1975	",3801,B,2022
Food Quality and Preference,Elsevier,"0950-3293	","1988	",3506,A,2022
Fordham Journal of Corporate & Financial Law,Fordham Law School,"1532-303X	","1996	",4801,B,2022
Foreign Affairs,Council on Foreign Relations,"0015-7120	","1910	",3599,A*,2022
Foreign Policy (Washington),"National Affairs, Inc. ","0015-7228	","1971	",3599,A*,2022
Foreign Trade Review,Sage Journals,0015-7325,"1966	",3801,B,2022
Foresight,Emerald,1463-6689,1999,3599,C,2022
Forest Policy and Economics,Elsevier,"1389-9341	","2000	",3801,B,2022
Forum for Health Economics and Policy,De Gruyter,"2194-6191	","1998	",3899,C,2022
Forum for Social Economics,Taylor & Francis Online,"0736-0932	","1975	",3801,C,2022
Forum of International Development Studies,Nagoya University,"1341-3732	","1994	",3899,B,2022
Foundations and Trends in Accounting,Now Publishers,"1554-0642	","2006	",3501,A,2022
Foundations and Trends in Econometrics,Now Publishers,"1551-3076	","2005	",3802,C,2022
Foundations and Trends in Entrepreneurship,Now Publishers,"1551-3114	","2005	",3507,C,2022
Foundations and Trends in Finance,Now Publishers,"1567-2395	","2005	",3502,B,2022
Foundations and Trends in Microeconomics,Now Publishers,"1547-9846	","2005	",3801,C,2022
Frontiers in Finance and Economics,PHI,"1814-2044	","2004	",3502,C,2022
Frontiers of Economics in China,Higher Education Press,"1673-3444	","2006	",3801,C,2022
Futures,Elsevier,"0016-3287	","1968	",3507,B,2022
Fuzzy Economic Review,International Association for Fuzzy-Set Management and Economy,"1136-0593	","1995	",3801,C,2022
Gambling Research,National Association for Gambling Studies,"1832-4975	","2002	",3504,C,2022
Games,MDPI,"2073-4336	","2010	",3803,B,2022
Games and Economic Behavior,Elsevier ,"0899-8256	","1989	",3803,A*,2022
Gender and Society,Sage Publications,"0891-2432	","1987	",3507,A*,2022
Gender in Management: an international journal,Emerald Group Publishing,"1754-2413	","1985	",3505,C,2022
"Gender, Work and Organization",Wiley-Blackwell Publishing,"0968-6673	","1994	",3505,A,2022
German Economic Review,Wiley-Blackwell Publishing,"1465-6485	","2000	",3801,B,2022
German Journal of Agricultural Economics,dfv Mediengruppe,"0002-1121	","1952	",3899,C,2022
German Journal of Human Resource Management,Sage Publications,2397-0022,1987,3505,B,2022
Global Business and Economics Review,Inderscience Enterprises Ltd.,"1097-4954	","1999	",3801,C,2022
Global Business and Organizational Excellence,Wiley-Blackwell Publishing,1932-2054‎,"1981	",3507,C,2022
Global Business Review,Sage Publications,"0972-1509	","2000	",3507,C,2022
Global Economic Review,Taylor & Francis Online,"1226-508X	","1973	",3801,C,2022
Global Economy Journal,De Gruyter,2194-5659,"2000	",3801,B,2022
Global Environmental Change,Elsevier ,"0959-3780	","1990	",3599,A*,2022
Global Environmental Politics,MIT Press,"1526-3800	","2001	",3599,C,2022
Global Finance Journal,Elsevier,"1044-0283	","1989	",3502,A,2022
Global Journal of Accounting and Finance,Institute for Global Business Research,2574-0474,2017,3501,C,2022
Global Journal of Flexible Systems Management,Springer Nature  ,0972-2696,"2000	",3507,A,2022
"Global Knowledge, Memory and Communication",Emerald Group Publishing,2514-9342,"2018	",4609,B,2022
Global Networks: A Journal of Transnational Affairs,Wiley-Blackwell Publishing,"1470-2266	","2001	",3599,A,2022
Global Perspectives on Accounting Education,Global Perspectives on Accounting Education,,"2004	",3501,C,2022
Global Social Policy,Sage Publications,"1468-0181	","2001	",3599,C,2022
Global Strategy Journal,Wiley-Blackwell Publishing,"2042-5791	","	",3507,A,2022
Gospodarka Narodowa,"Instytut Gospodarki Narodowej, Warsaw ","0867-0005	","1946	",3801,C,2022
Government Information Quarterly,Elsevier,0740-624X,"1984	",4609,A,2022
Griffith Law Review,Griffith University,"1038-3441	","1992	",4801,C,2022
Group & Organization Management,Sage Publications,"1059-6011	","1976	",3507,A,2022
Group Decision and Negotiation,Springer International Publishing,"0926-2644	","1992	",4609,A,2022
"Group Dynamics: theory, research and practice",American Psychological Association ,"1089-2699	","1997	",3599,B,2022
Group Processes and Intergroup Relations,Sage Publications,"1368-4302	","1998	",3507,B,2022
Growth and Change,Wiley-Blackwell Publishing,"0017-4815	","1970	",3801,B,2022
Habitat International,Elsevier ,"0197-3975	","1976	",3504,A,2022
Harvard Business Review,Harvard Business Publishing,"0017-8012	","1922	",3507,A,2022
Harvard Environmental Law Review,Harvard Environmental Law Review,"0147-8257	","1976	",4801,A,2022
Harvard International Law Journal,Harvard University Press,"0017-8063	","1960	",4801,A,2022
Harvard Journal of Law and Public Policy,Harvard Society for Law and Public Policy,"0193-4872	","1978	",4801,A,2022
Harvard Journal of Law and Technology,Harvard University Press,"0897-3393	","1988	",4801,A,2022
Harvard Law Review,Harvard University Press,"0017-811X	","1886	",4801,A*,2022
Hastings Business Law Journal,University of California Press,"1554-849X	","2005	",4801,B,2022
Health Care Management Review,Lippincott Williams & Wilkins,"0361-6274	","1976	",3507,A,2022
Health Care Management Science,Springer International Publishing,"1386-9620	","1998	",3507,B,2022
Health Communication,Taylor & Francis Online,"1041-0236	","1989	",3599,B,2022
Health Economics,Wiley-Blackwell Publishing,"1057-9230	","1992	",3801,A*,2022
Health Economics Review,Springer International Publishing,"	","2011	",3801,C,2022
"Health Economics, Policy and Law",Cambridge University Press,"1744-1331	","2006	",3801,B,2022
Health Informatics Journal,Sage Publications,"1460-4582	","1995	",4609,C,2022
Health Marketing Quarterly,Taylor & Francis Online,"0735-9683	","1983	",3506,B,2022
Health Policy,Elsevier ,"0168-8510	","1984	",3801,A,2022
Health Policy and Technology,Elsevier ,"2211-8837	","	",4609,B,2022
Health Promotion International,Oxford University Press,0957-4824,"1986	",3506,A,2022
Health Services and Outcomes Research Methodology,Springer International Publishing,"1387-3741	","2000	",3507,C,2022
Health Services Management Research,Sage Publications,"0951-4848	","1988	",3599,C,2022
Health Services Research,Wiley-Blackwell Publishing,"0017-9124	","1966	",3599,A,2022
Higher Education Quarterly,Wiley-Blackwell Publishing,"0951-5224	","1947	",3505,C,2022
"Higher Education, Skills and Work-based Learning",Emerald Group Publishing,"2042-3896	","2010	",3505,C,2022
Historical Materialism,Brill,"1465-4466	","1997	",3803,C,2022
Historical Studies in Industrial Relations,Liverpool University Press,"1362-1572	","1996	",3505,C,2022
History of Economic Ideas,Fabrizio Serra Editore,"1122-8792	","1993	",3899,B,2022
History of Economic Thought and Policy,Franco Angeli Edizioni,"2240-9971	","2004	",3899,C,2022
History of Economics Review,Taylor & Francis Online,"1037-0196	","1981	",3803,B,2022
History of Political Economy,Duke University Press,"0018-2702	","1969	",3803,A,2022
Hitotsubashi Journal of Economics,Sanseido Publishing Company Ltd,"0018-280X	","1960	",3801,B,2022
Homo Oeconomicus,Springer International Publishing,"0943-0180	","1983	",3801,C,2022
Hong Kong Law Journal,Thomson Reuters,"0378-0600	","1971	",4801,A,2022
Hospitality & Society,Intellect Publishing,2042-7913,"2011	",3504,C,2022
Housing Policy Debate,Taylor & Francis Online,"1051-1482	","1990	",3801,B,2022
Housing Studies,Taylor & Francis Online,"0267-3037	","1986	",3504,A,2022
Houston Business and Tax Law Journal,University of Houston Law Center,"1543-2602	","2001	",4801,C,2022
Human Communication Research,Oxford University Press,"0360-3989	","1974	",3507,A,2022
Human IT,Centre for Information Technology Studies as a Human Science (ITH),"1402-1501	","1997	",4609,B,2022
Human Performance,Taylor & Francis Online,"0895-9285	","1988	",3507,A,2022
Human Relations,Sage Publications,"0018-7267	","1947	",3507,A*,2022
Human Resource Development International,Taylor & Francis Online,"1367-8868	","1998	",3505,B,2022
Human Resource Development Quarterly,Wiley-Blackwell Publishing,"1044-8004	","1990	",3505,B,2022
Human Resource Development Review,Sage Publications,"1534-4843	","2002	",3505,B,2022
Human Resource Management (US),Wiley-Blackwell Publishing,"0090-4848	","1961	",3505,A*,2022
Human Resource Management International Digest,Emerald Group Publishing,"0967-0734	","1993	",3505,C,2022
Human Resource Management Journal (UK),Wiley-Blackwell Publishing,"0954-5395	","1990	",3505,A,2022
Human Resource Management Review,Elsevier,"1053-4822	","1991	",3505,A,2022
Human Systems Management,IOS Press,"0167-2533	","1980	",3505,C,2022
Human-Computer Interaction,Taylor & Francis Online,"0737-0024	","1985	",4609,A,2022
IATSS Research,Elsevier ,"0386-1112	","1977	",3509,C,2022
IBM Systems Journal,Institute of Electrical and Electronics Engineers,"0018-8670	","	",4609,A,2022
ICSID Review: foreign investment law journal,Oxford University Press,"2049-1999	","1986	",4801,C,2022
IEEE Transactions on Engineering Management,Institute of Electrical and Electronics Engineers,1558-0040,1963,3503,A,2022
IEEE Transactions on Intelligent Transportation Systems,Institute of Electrical and Electronics Engineers,"1524-9050	","2000	",3509,A,2022
IEEE Transactions on Professional Communication,Institute of Electrical and Electronics Engineers,"0361-1434	","1972	",4609,B,2022
IEEE Transactions on Vehicular Technology,Institute of Electrical and Electronics Engineers,"0018-9545	","1967	",3509,A,2022
IIC International Review of Intellectual Property and Competition Law,Springer International Publishing,"0018-9855	","1970	",4801,A,2022
IISE Transactions,Taylor & Francis Online,"0740-817X	","1969	",3503,A,2022
IIM Kozhikode Society and Management Review,Sage Publications,2321-029X,2012,3507,C,2022
IIMB Management Review,Elsevier,"0970-3896	","1986	",3507,B,2022
ILR Review (Industrial and Labor Relations Review),Sage Publications,"0019-7939	","1947	",3505,A*,2022
IMA Educational Case Journal,"Institute of Management Accountants, Inc. ","1940-204X	","2008	",3501,C,2022
IMF Economic Review,Palgrave Macmillan,"2041-4161	","2011	",3801,A,2022
Impact Assessment and Project Appraisal,Taylor & Francis Online,"1461-5517	","1998	",3507,C,2022
Indian Economic Journal,Sage Publications,"0019-4662	","1953	",3801,B,2022
Indian Economic Review,"University of Delhi, School of Economics","0019-4670	","1952	",3801,C,2022
Indian Growth and Development Review,Emerald Group Publishing,"1753-8254	","2008	",3801,B,2022
Indian Journal of Corporate Governance,Sage Publications,0974-6862,2014,3501,C,2022
Indian Journal of Economics,"Department of Economics, University of Allahabad","0019-5170	","1916	",3801,C,2022
Indian Journal of Finance,Associated Management Consultants Private Limited,0973-8711,2007,3502,C,2022
Indian Journal of Gender Studies,Sage Publications,"0971-5215	","1994	",3599,C,2022
Indian Journal of Industrial Relations,Shri Ram Centre for IR & HR,"0019-5286	","1964	",3505,C,2022
Indian Journal of Labour Economics,Springer International Publishing,"0971-7927	","1958	",3801,C,2022
Indian Journal of Marketing,Associated Management Consultants Private Limited,0973-8703,"1968	",3506,C,2022
Indonesian Journal of Sustainability Accounting and Management,Universitas Pasundan,2597-6214,2017,3501,C,2022
Indonesian Management and Accounting Research,Trisakti University,"1411-8858	","2006	",3501,C,2022
Industrial and Corporate Change,Oxford University Press ,"0960-6491	","1992	",3507,A,2022
Industrial and Organizational Psychology: perspectives on science & practice,Cambridge University Press,"1754-9426	","2008	",3507,B,2022
Industrial Law Journal,Oxford University Press ,"0305-9332	","1972	",4801,A,2022
Industrial Management & Data Systems,Emerald Group Publishing,0263-5577,1980,4609,A,2022
Industrial Marketing Management,Elsevier ,"0019-8501	","1971	",3506,A*,2022
Industrial Relations Journal,Wiley-Blackwell Publishing,"0019-8692	","1970	",3505,A,2022
Industrial Relations: a journal of economy and society,Wiley-Blackwell Publishing,"0019-8676	","1961	",3505,A*,2022
Industry and Higher Education,Sage Publications,"0950-4222	","1987	",3507,C,2022
Industry and Innovation,Taylor & Francis Online,"1366-2716	","1993	",3507,B,2022
INFOR (INFOR: Information Systems and Operational Research),Taylor & Francis Online,"0315-5986	","1963	",4609,B,2022
Informatics for Health and Social Care,Taylor & Francis Online,"1753-8157	","1976	",4609,C,2022
Information Knowledge Systems Management,IOS Press,"1389-1995	","1999	",4609,C,2022
Information & Management,Elsevier ,"0378-7206	","1977	",4609,A*,2022
Information and Communications Technology Law,Taylor & Francis Online,"1360-0834	","1992	",4609,C,2022
Information and Computation,Elsevier ,"0890-5401	","1957	",4609,B,2022
Information and Computer Security,Emerald Group Publishing,"2056-4961	","1992	",4609,B,2022
Information and Organization,Elsevier,"1471-7727	","1990	",4609,A*,2022
Information and Software Technology,Elsevier ,"0950-5849	","1987	",4609,A,2022
Information Discovery and Delivery,Emerald Group Publishing,2398-6247,"1973	",4609,C,2022
Information Economics and Policy,Elsevier ,"0167-6245	","1983	",3801,A,2022
Information Polity,IOS Press,1570-1255,"1996	",4609,C,2022
Information Processing & Management,Elsevier ,"0306-4573	","1965	",4609,B,2022
Information Processing Letters,Elsevier ,"0020-0190	","1971	",4609,C,2022
Information Research,University of Borås,,1995,4609,C,2022
Information Resources Management Journal,IGI Global,"1040-1628	","1988	",4609,C,2022
Information Retrieval Journal,Springer International Publishing,"1386-4564	","1998	",4609,C,2022
Information Systems and e-Business Management,Springer International Publishing,"1617-9846	","2003	",4609,B,2022
Information Systems Frontiers,Springer International Publishing,"1387-3326	","1999	",4609,A,2022
Information Systems Journal,Wiley-Blackwell Publishing,"1350-1917	","1991	",4609,A*,2022
Information Systems Management,Taylor & Francis Online,"1058-0530	","1984	",4609,B,2022
Information Systems Research,The Institute for Operations Research and the Management Sciences (INFORMS),"1047-7047	","1990	",4609,A*,2022
Information Technology & People,Emerald Group Publishing,"0959-3845	","1982	",4609,A,2022
Information Technology & Tourism,Springer International Publishing,"1098-3058	","1998	",3508,B,2022
