author
L Hashemi
Reza Jalalkamali
Mahmoud Ahmadinejad
Y Sekou Bermiss
Bruce E Greenbaum
Marshall Wise
Elke L Hodson
Bryan K Mignone
Leon Clarke
Stephanie Waldhoff
Patrick Luckow
Don Gotterbarn
Jacob M Rose
John M Griffin
Gonzalo Maturana
Samuel Aryee
Andrew Karpinski
Miriam Yale
Jessie C Briggs
Heidi I Brummert Lennings
Wayne A Warburton
Elaine Mauldin
Patrick Wheeler
Martin Hoegl
Syeda Rabab Mudakkar
David R Just
Ozge Sigirci
S H Behiry
Karsten KÃ¶hler
Alexander Guschanski
Engelbert Stockhammer
Suyan Shen
Zhimin Qiu
Jian Xu
Qian Huang
Haroon Muzaffar Buttar
Jaehoon Rhee
Xiaofei Zhao
Choonghyun Kim
Carla Barqueiro
Anirban Basu
Norma B Coe
Atef Khelifi
Jennifer E McLean
Paul Bentzen
Thomas P Quinn
Tanveer Ahmad
Ronald J Burke
Marina N Astakhova
Hongli Hang
Chein-Ling Hsu
Nadire Cavus
Bashir Ahmad Khilji
Mehboob Ahmad
Laleena Salar
Mohammad Saeed Lodhi
Lukas Tencer
Marta ReznÃ¡kovÃ¡
Mohamed Cheriet
Lionel Bobot
Malik Fahim Bashir
Changsheng Xu
Ghulam Akhmat
Muhammad Ikram
Jamshed Y Uppal
Imran Naseem
Ghias Ud Din Shah
HenriÃ«tta du Plessis
Gerrie du Rand
Farah Naz
Syeda Anam Hassan
Tengwen Zhang
Mingfeng Tang
Dayong Dong
Mohamed Khalgui
Olfa Mosbahi
Hans-Michael Hanisch
Roman V Ivanov
Roohollah Noori
Mohammad Ali Abdoli
Ashkan Farokhnia
Maryam Abbasi
Ali Moeini
Mehdi Ahrari
Ali Erfanifard
Te-Sheng Li
Hsing-Hsin Huang
Ihsan Kaya
VladimÃ­r Volf
David Marx
Ludmila Pliskova
Laszlo SÃ¼megh
Alexander Celko
Payel Das
Santanu Mandal
Randall L Rose
Kevin Tang
David A Robinson
Michael Harvey
John Schaubroeck
Xiujuan Zhang
Zhen Xiong (George) Chen
Maria Rotundo
Francesco Arduino
Massimo Santarelli
Sunku Hahn
Vicky Arnold
Jacqueline L Reck
Sheng-Dong Wang
Yong-Wu Zhou
Zeeshan Izhar
Sehrish Rustam
Kashif Rashid
Ajai Kumar Singh
Jixiang Zhang
Qingli Da
Yanhua Wang
Miriam Muethel
Jodi L Whitaker
Brad J Bushman
Hiren M Maniar
Rajesh Bhatt
Dharmesh M Maniyar
Behrang Assemi
Daniel Schlagwein
Koert van Ittersum
James E Painter
Paul R Rosenbaum
Feng Wang
Jie Lin
Xiaohua Liu
Jun-Ping Wang
Kwadwo N Asare
Mohammad J Abdolmohammadi
B Douglas Clinton
Min-Jae Lee
Boong Yeol Ryoo
Kenneth T Sullivan
Awad S Hanna
Craig D Parks
Jia (Elke) Liu
Golam Mostafa Khan
Darwish Al Moharby
Yousef Al Busaidi
Fakhraddin Maroofi
Juncai Xu
Zhenzhong Shen
Bernhard Valentini
Lijuan Wang
Seungkeun Song
Joohyeon Lee
Ahmed M Deif
Waguih El Maraghy
Yang Peizhong
Wang Xin
Liu Tao
Sanjeev Bhojraj
Elaine G Mauldin
Patrick R Wheeler
Cheri L Mazza
Ruth Ann McEwen
Ron S Kenett
Mohamed I Gomaa
Nicholas Seybert
Paul Hamalainen
Maximilien Hall
Barry Howcroft
Mohammad Asif Salam
Inci Gumus
Carsten Vogt
Jungwon Min
Hitoshi Mitsuhashi
Frans W Siero
H Mulder
Thomas Mussweiler
Naomi Mandel
Gavin Fridell
Joel C Nwaubani
Eckhard Lichtenthaler
Johan Frishammar
Dong Hee Shin
Eric Brouillat
Saieed F Ateya
Abd EL-Baset A Ahmad
Chang-Shi Liu
Ming-Yong Lai
Bent Flyvbjerg
Mette K Skamris Holm
SÃ¸ren L Buhl
Kubilay Kaptan
Tan Shukui
Tauseef Ahmed
Yongdeng Lei
Han Yu
Jingâai Wang
Xiaoyun Huang
GÃ¼n R Semin
Karen I Van der Zee
Jerry Suls
Joop van der Pligt
Lonneke A J G van der Linde
Yana R Avramova
Davy Lerouge
S Christian Wheeler
Karen M Ruggiero
Neha Mahajan
Margaret A Martinez
Natashya L Gutierrez
Gil Diesendruck
Mahzarin R Banaji
Laurie R Santos
Hart Blanton
H Mwambi
S Ramroop
Z Shkedy
G Molenberghs
Claire I Fisher
Amanda C Hahn
Lisa M DeBruine
Benedict C Jones
David E Anderson
Edward K Vogel
Edward Awh
Jonas Persson
Patricia A Reuter-Lorenz
Jason P Mitchell
Nancy Krieger
Melanie L Lorenzo
H Ramji
EH Gordijn
Laura Hubbs-Tait
Katherine L Dickin
Madeleine Sigman-Grant
Lisa Jahns
Amy R Mobley
Maoqiang Xie
TaeHyun Hwang
Rui Kuang
Ali Osman Atahan
